column,benchmark_column,definition,tolerance,n,rate,median_abs_diff,p90_abs_diff,n_stable_vintage,rate_stable_vintage,expected_rate,note
f,f,"Article `f`: flights scheduled on the route-month, realised plus cancelled (ADR-0002). Reproduces the benchmark on 97.5% of route-months.",0.5,24551,0.902244,0,0,15205,0.953436,0.975,
fl_can,fl_can,Article `fl_can`: flights of the route-month that did not operate.,0.5,24551,0.938373,0,0,15205,0.948964,0.978,
fl_odel,fl_odel,"Article `fl_odel`: realised flights that departed more than 0 minutes late — the benchmark's cut is 0, not 15.",0.5,24551,0.857073,0,1,15205,0.879119,0.924,
fl_ddel,fl_ddel,"Article `fl_ddel`: realised flights that arrived more than 0 minutes late. Reproduces at 59.8% under the same rule that gives 92.4% for departures; the asymmetry is declared, not resolved (ADR-0002).",0.5,24551,0.56401,0,12,15205,0.563367,,known to reproduce far below fl_odel (ADR-0002)
ndays,ndays,Days in the calendar month.,0.5,24551,1,0,0,15205,1,,
dailyfl,dailyfl,Article `dailyfl`: f divided by the days in the month.,0.01,24551,0.902244,0,3.8147e-06,15205,0.953436,,
fsc_prdelarr,fsc_prdelarr,"Flights of the article's FSC group set (TAM, Varig, Transbrasil, Vasp), which excludes Avianca Brasil arriving more than 15 minutes late, over their arrival denominator. The article's ODDS is built on this.",0.0001,21506,0.612062,3.7998e-07,0.0290089,12981,0.650643,0.651,"FSC = the article's group set, without Avianca Brasil"
fscc_prdelarr,fsc_prdelarr,"Flights of carriers of class FSC (ADR-0003) arriving more than 15 minutes late, over their arrival denominator. The article's ODDS is built on this.",0.0001,21506,0.529713,4.61936e-07,0.0483882,12981,0.53509,,"FSC = class FSC, which includes Avianca Brasil"
fsc_prdelarr1530,fsc_prdelarr1530,"Flights of the article's FSC group set (TAM, Varig, Transbrasil, Vasp), which excludes Avianca Brasil arriving between 15 and 30 minutes late.",0.0001,21506,0.587324,3.8743e-07,0.0179311,12981,0.619367,,
fsc_prdelarr30m,fsc_prdelarr30m,"Flights of the article's FSC group set (TAM, Varig, Transbrasil, Vasp), which excludes Avianca Brasil arriving more than 30 minutes late.",0.0001,21506,0.599275,3.8743e-07,0.022333,12981,0.638395,,
fscc_prdeldep,fsc_prdeldep,Flights of carriers of class FSC (ADR-0003) departing more than 15 minutes late.,0.0001,21506,0.558774,4.32134e-07,0.0406295,12981,0.561205,,
fscc_oddsarr,fsc_oddsarr,Log-odds of the arrival proportion of carriers of class FSC (ADR-0003); null at 0 and 1.,0.001,20607,0.514922,4.76837e-07,0.326881,12487,0.522543,,
fsc_minsarr,fsc_minsarr,"Sum of the signed arrival delays of the article's FSC group set (TAM, Varig, Transbrasil, Vasp), which excludes Avianca Brasil divided by the realised flights of ALL carriers on the route-month. The denominator is the article's, and it dilutes the mean by the other carriers' share (declared difference).",0.01,24551,0.240072,0.057971,1.68356,15205,0.272937,,"same, on the article's FSC group set"
fscc_minsarr,fsc_minsarr,"Sum of the signed arrival delays of carriers of class FSC (ADR-0003) divided by the realised flights of ALL carriers on the route-month. The denominator is the article's, and it dilutes the mean by the other carriers' share (declared difference).",0.01,24551,0.200929,0.0964642,2.86593,15205,0.220191,,denominator is every carrier's realised flights
fsc_minsdep,fsc_minsdep,"The departure counterpart of minsarr for the article's FSC group set (TAM, Varig, Transbrasil, Vasp), which excludes Avianca Brasil.",0.01,24551,0.244023,0.0486114,1.21059,15205,0.273792,,
fscc_minsp15arr,fsc_minsp15arr,"Sum of the arrival delays of carriers of class FSC (ADR-0003) counting only what exceeds 15 minutes, over the same denominator.",0.01,24551,0.223738,0.0749998,2.31081,15205,0.243538,,
all_prdelarr,all_prdelarr,"All carriers: realised flights arriving more than 15 minutes late, over the arrival denominator.",0.0001,24551,0.484665,0.000458807,0.0181822,15205,0.477935,,
