icao,iata,name,municipality,region,lat,lon,type,source,url,retrieved_at,confidence
BR-0001,,Tatamborá Flying Field,"Ponta da Sela, Ilhabela",BR-SP,-23.888048,-45.446824,small_airport,OurAirports,https://davidmegginson.github.io/ourairports-data/airports.csv,2026-09-05,A
BR-0002,,Alegrete,,BR-RS,-29.800277709960938,-55.76305389404297,closed,OurAirports,https://davidmegginson.github.io/ourairports-data/airports.csv,2026-09-05,A
BR-0003,,Fazenda Cana Brava,,BR-BA,-17.418399810791016,-39.5817985534668,closed,OurAirports,https://davidmegginson.github.io/ourairports-data/airports.csv,2026-09-05,A
BR-0004,,Fazenda Sao Judas Tadeu,,BR-RO,-12.617799758911133,-60.90079879760742,closed,OurAirports,https://davidmegginson.github.io/ourairports-data/airports.csv,2026-09-05,A
BR-0005,,Iguatemi,,BR-MS,-23.63290023803711,-54.62969970703125,closed,OurAirports,https://davidmegginson.github.io/ourairports-data/airports.csv,2026-09-05,A
BR-0006,,Ilha Solteira,,BR-SP,-20.4217,-51.331402,closed,OurAirports,https://davidmegginson.github.io/ourairports-data/airports.csv,2026-09-05,A
BR-0007,,Irati,,BR-PR,-25.503889083862305,-50.65388870239258,closed,OurAirports,https://davidmegginson.github.io/ourairports-data/airports.csv,2026-09-05,A
BR-0008,,Planura,,BR-MG,-20.124399185180664,-48.69969940185547,closed,OurAirports,https://davidmegginson.github.io/ourairports-data/airports.csv,2026-09-05,A
BR-0009,,Ponta do Costa Airport,Cabo Frio,BR-RJ,-22.871901,-42.082802,closed,OurAirports,https://davidmegginson.github.io/ourairports-data/airports.csv,2026-09-05,A
BR-0010,,Senhor Do Bonfim,,BR-BA,-10.47029972076416,-40.18280029296875,closed,OurAirports,https://davidmegginson.github.io/ourairports-data/airports.csv,2026-09-05,A
BR-0011,,Edmar Ferreira,Buriti Alegre,BR-GO,-18.25749969482422,-48.90800094604492,closed,OurAirports,https://davidmegginson.github.io/ourairports-data/airports.csv,2026-09-05,A
