code,description_pt,source,url,retrieved_at,confidence
0,Voo Regular,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
1,Voo Extra com HOTRAN,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
2,Voo Extra sem HOTRAN,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
3,Voo de Retorno,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
4,"Inclusao de etapa em um voo previsto em HOTRAN (etapas resultantes de pouso tecnico, alteracao de destino por interdicao ou fechamento de aerodromo, cancelamento autorizado e pouso extra)",IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
5,Voo Cargueiro nao-regular,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
6,Voo de Servico,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
7,Voo de Fretamento,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
8,Voo de conexao para atender viagem internacional,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
9,Voo Charter,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
A,Voo de Instrucao,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
B,Voo de Experiencia,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
