event,date,type,airlines,source,url,retrieved_at,confidence,note
Gol Linhas Aereas - primeiro voo comercial,2001-01-15,entry,GLO,mercadoeeventos.com.br (e outras fontes convergentes),https://www.mercadoeeventos.com.br/noticias/aviacao/gol-completa-15-anos-veja-fatos-marcantes-da-historia-da-aerea/,2026-09-05,B,Brasilia -> Congonhas.
Transbrasil - encerramento das operacoes,2001-12-03,exit,TBA;ITB,airway.com.br (e outras fontes convergentes),https://www.airway.com.br/falida-em-2002-transbrasil-ainda-vive-nos-tribunais/,2026-09-05,B,"Ultimo voo regular, pousou em Congonhas."
Transbrasil - falencia decretada,2002-01-01,exit,TBA;ITB,exame.com,https://exame.com/negocios/varig-vasp-transbrasil-o-que-aconteceu-com-as-companhias-aereas-que-donimavam-os-ceus-do-brasil/,2026-09-05,A,"Ano confirmado por leitura direta (""oficialmente decretada em 2002""); dia e mes exatos nao confirmados, usado 01-01 como placeholder de precisao anual."
"Codeshare TAM-Varig (inicio, aproximado)",2003-01-01,codeshare,TAM;VRG,"especificacao.md / avaliacao-vra-como-fonte.md (notas do acervo, dummy 'cshare' do proj18.dta)",file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/especificacao.md,2026-09-05,B,"proj18.dta rotula o periodo do codeshare como 2003-2005 (fonte SEAE/Ministerio da Fazenda citada no .dta); dia/mes exatos do inicio do acordo nao encontrados, usado 01-01 como placeholder de precisao anual."
Vasp - suspensao das operacoes regulares,2005-01-01,exit,VSP,exame.com,https://exame.com/negocios/varig-vasp-transbrasil-o-que-aconteceu-com-as-companhias-aereas-que-donimavam-os-ceus-do-brasil/,2026-09-05,A,"Ano confirmado por leitura direta (""Em 2005, a Vasp suspendeu suas operacoes de voos regulares""); dia exato nao confirmado (uma fonte de epoca deu 27/01/2005). Usado 01-01 como placeholder de precisao anual."
Vasp - falencia decretada (noticia contemporanea),2005-09-01,exit,VSP,busca (noticia de 2005),,2026-09-05,B,"Uma noticia de 2005 fala em decretacao da falencia em setembro/2005 (mes aproximado, dia nao encontrado). Contradiz a versao Exame (2008) e a versao de confirmacao definitiva (2013)."
"Codeshare TAM-Varig (fim, aproximado)",2005-12-01,codeshare,TAM;VRG,"especificacao.md / avaliacao-vra-como-fonte.md (notas do acervo, dummy 'cshare' do proj18.dta)",file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/especificacao.md,2026-09-05,B,Ver nota da linha de inicio; dia/mes exatos do fim do acordo nao encontrados.
Apagao aereo - acidente Gol 1907,2006-09-29,shock,GLO,"busca (Wikipedia e imprensa, convergentes)",https://pt.wikipedia.org/wiki/Voo_Gol_1907,2026-09-05,B,154 mortes. Marco inicial do periodo do apagao aereo.
Apagao aereo - periodo regulatorio (inicio),2006-10-01,shock,,avaliacao-vra-como-fonte.md (nota de pesquisa do acervo),file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/avaliacao-vra-como-fonte.md,2026-09-05,B,"Periodizacao usada pelo laboratorio para a dummy do apagao aereo (2006m10 a 2007m12); fronteiras mensais exatas nao vem de um ato regulatorio especifico, apenas da convencao do laboratorio."
Gol anuncia compra da Varig (Nova Varig/VRG),2007-03-28,merger,GLO;VRG,Agencia Brasil / EBC,https://memoria.ebc.com.br/agenciabrasil//noticia/2007-03-28/gol-anuncia-compra-da-varig-por-ate-us-320-milhoes,2026-09-05,A,Anuncio as 19h31.
"ANAC autoriza (regulatorio, previo) a compra da Varig pela Gol",2007-04-04,merger,GLO;VRG,Conjur,https://www.conjur.com.br/2007-abr-04/anac_autoriza_compra_varig_gol/,2026-09-05,B,Data inferida do slug da URL; conteudo da pagina nao lido nesta sessao.
