airline,group,start,end,class,note,source,url,retrieved_at,confidence
VRG,VARIG,2000-01,2007-03,FSC,"Varig group (Varig/Rio-Sul/Nordeste/Pluna-BR/Cruzeiro-derived subsidiary codes) per ADR-0003; start 2000-01 is the VRA panel start, not the airline's founding date.",ADR-0003 (DECISIONS.md),file:///Users/wbendinelli/Documents/airline-delays/DECISIONS.md,2026-09-05,B
VRG,GOL,2007-04,,LCC,"Absorbed into the Gol group after the Gol-Varig acquisition. Transition month (2007-04) is the laboratory rule's cut date, matching ANAC's regulatory authorization of the purchase (2007-04-04, see events.csv); Gol's announcement was 2007-03-28 and CADE's unrestricted final approval was 2008-06-25 (both in events.csv) -- the group mapping does not switch on those dates.","laboratory rule (reconstruir_vra_13_validar.py / reconstruir_vra_08_amostra3.py, grupo_from())",https://www.conjur.com.br/2007-abr-04/anac_autoriza_compra_varig_gol/,2026-09-05,B
VLO,VARIG,2000-01,2007-03,FSC,"Varig group (Varig/Rio-Sul/Nordeste/Pluna-BR/Cruzeiro-derived subsidiary codes) per ADR-0003; start 2000-01 is the VRA panel start, not the airline's founding date.",ADR-0003 (DECISIONS.md),file:///Users/wbendinelli/Documents/airline-delays/DECISIONS.md,2026-09-05,B
VLO,GOL,2007-04,,LCC,"Absorbed into the Gol group after the Gol-Varig acquisition. Transition month (2007-04) is the laboratory rule's cut date, matching ANAC's regulatory authorization of the purchase (2007-04-04, see events.csv); Gol's announcement was 2007-03-28 and CADE's unrestricted final approval was 2008-06-25 (both in events.csv) -- the group mapping does not switch on those dates.","laboratory rule (reconstruir_vra_13_validar.py / reconstruir_vra_08_amostra3.py, grupo_from())",https://www.conjur.com.br/2007-abr-04/anac_autoriza_compra_varig_gol/,2026-09-05,B
VRN,VARIG,2000-01,2007-03,FSC,"Varig group (Varig/Rio-Sul/Nordeste/Pluna-BR/Cruzeiro-derived subsidiary codes) per ADR-0003; start 2000-01 is the VRA panel start, not the airline's founding date.",ADR-0003 (DECISIONS.md),file:///Users/wbendinelli/Documents/airline-delays/DECISIONS.md,2026-09-05,B
VRN,GOL,2007-04,,LCC,"Absorbed into the Gol group after the Gol-Varig acquisition. Transition month (2007-04) is the laboratory rule's cut date, matching ANAC's regulatory authorization of the purchase (2007-04-04, see events.csv); Gol's announcement was 2007-03-28 and CADE's unrestricted final approval was 2008-06-25 (both in events.csv) -- the group mapping does not switch on those dates.","laboratory rule (reconstruir_vra_13_validar.py / reconstruir_vra_08_amostra3.py, grupo_from())",https://www.conjur.com.br/2007-abr-04/anac_autoriza_compra_varig_gol/,2026-09-05,B
NES,VARIG,2000-01,2007-03,FSC,"Varig group (Varig/Rio-Sul/Nordeste/Pluna-BR/Cruzeiro-derived subsidiary codes) per ADR-0003; start 2000-01 is the VRA panel start, not the airline's founding date.",ADR-0003 (DECISIONS.md),file:///Users/wbendinelli/Documents/airline-delays/DECISIONS.md,2026-09-05,B
NES,GOL,2007-04,,LCC,"Absorbed into the Gol group after the Gol-Varig acquisition. Transition month (2007-04) is the laboratory rule's cut date, matching ANAC's regulatory authorization of the purchase (2007-04-04, see events.csv); Gol's announcement was 2007-03-28 and CADE's unrestricted final approval was 2008-06-25 (both in events.csv) -- the group mapping does not switch on those dates.","laboratory rule (reconstruir_vra_13_validar.py / reconstruir_vra_08_amostra3.py, grupo_from())",https://www.conjur.com.br/2007-abr-04/anac_autoriza_compra_varig_gol/,2026-09-05,B
RSL,VARIG,2000-01,2007-03,FSC,"Varig group (Varig/Rio-Sul/Nordeste/Pluna-BR/Cruzeiro-derived subsidiary codes) per ADR-0003; start 2000-01 is the VRA panel start, not the airline's founding date.",ADR-0003 (DECISIONS.md),file:///Users/wbendinelli/Documents/airline-delays/DECISIONS.md,2026-09-05,B
RSL,GOL,2007-04,,LCC,"Absorbed into the Gol group after the Gol-Varig acquisition. Transition month (2007-04) is the laboratory rule's cut date, matching ANAC's regulatory authorization of the purchase (2007-04-04, see events.csv); Gol's announcement was 2007-03-28 and CADE's unrestricted final approval was 2008-06-25 (both in events.csv) -- the group mapping does not switch on those dates.","laboratory rule (reconstruir_vra_13_validar.py / reconstruir_vra_08_amostra3.py, grupo_from())",https://www.conjur.com.br/2007-abr-04/anac_autoriza_compra_varig_gol/,2026-09-05,B
