date,name,law,url,source,retrieved_at,confidence
2000-01-01,Confraternizacao Universal (Ano Novo),Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2000-05-01,Dia Mundial do Trabalho,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2000-09-07,Independencia do Brasil,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2000-11-15,Proclamacao da Republica,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2000-12-25,Natal,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2001-01-01,Confraternizacao Universal (Ano Novo),Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2001-05-01,Dia Mundial do Trabalho,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2001-09-07,Independencia do Brasil,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2001-11-15,Proclamacao da Republica,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2001-12-25,Natal,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2002-01-01,Confraternizacao Universal (Ano Novo),Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2002-05-01,Dia Mundial do Trabalho,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2002-09-07,Independencia do Brasil,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2002-11-15,Proclamacao da Republica,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2002-12-25,Natal,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2003-01-01,Confraternizacao Universal (Ano Novo),Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2003-04-21,Tiradentes,"Lei 662/1949 (redacao dada pela Lei 10.607/2002, em vigor desde 2002-12-19)",https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 10.607/2002,2026-09-05,A
2003-05-01,Dia Mundial do Trabalho,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2003-09-07,Independencia do Brasil,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2003-11-02,Finados,"Lei 662/1949 (redacao dada pela Lei 10.607/2002, em vigor desde 2002-12-19)",https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 10.607/2002,2026-09-05,A
2003-11-15,Proclamacao da Republica,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2003-12-25,Natal,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2004-01-01,Confraternizacao Universal (Ano Novo),Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2004-04-21,Tiradentes,"Lei 662/1949 (redacao dada pela Lei 10.607/2002, em vigor desde 2002-12-19)",https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 10.607/2002,2026-09-05,A
2004-05-01,Dia Mundial do Trabalho,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2004-09-07,Independencia do Brasil,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2004-11-02,Finados,"Lei 662/1949 (redacao dada pela Lei 10.607/2002, em vigor desde 2002-12-19)",https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 10.607/2002,2026-09-05,A
2004-11-15,Proclamacao da Republica,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2004-12-25,Natal,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2005-01-01,Confraternizacao Universal (Ano Novo),Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2005-04-21,Tiradentes,"Lei 662/1949 (redacao dada pela Lei 10.607/2002, em vigor desde 2002-12-19)",https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 10.607/2002,2026-09-05,A
2005-05-01,Dia Mundial do Trabalho,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2005-09-07,Independencia do Brasil,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2005-11-02,Finados,"Lei 662/1949 (redacao dada pela Lei 10.607/2002, em vigor desde 2002-12-19)",https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 10.607/2002,2026-09-05,A
2005-11-15,Proclamacao da Republica,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
