icao,iata_as_printed,city_as_printed,uf,airport_name_as_printed,in_tables_3_4,note,source,url,retrieved_at,confidence
SBAR,AJU,Aracaju,SE,Santa Maria,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBBE,BEL,Belém,PA,Val de Cans,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBBH,PLU,Belo Horizonte,MG,Pampulha - Carlos Drummond de Andrade,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBBR,BSB,Brasília,DF,Pres. Juscelino Kubitschek,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBBV,BVB,Boa Vista,RR,Boa Vista,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBCF,CNF,Belo Horizonte,MG,Tancredo Neves,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBCG,CGR,Campo Grande,MS,Campo Grande,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBCT,CWB,Curitiba,PR,Afonso Pena,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBCY,CGB,Cuiabá,MT,Marechal Rondon,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBEG,MAO,Manaus,AM,Eduardo Gomes,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBFL,FLN,Florianópolis,SC,Hercílio Luz,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBFZ,FOR,Fortaleza,CE,Pinto Martins,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBGL,GIG,Rio de Janeiro,RJ,Galeão - Antônio Carlos Jobim,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBGO,GYN,Goiânia,GO,Santa Genoveva,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBGR,GRU,São Paulo,SP,Guarulhos - Governador André Franco Montoro,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBJF,JDF,Juiz de Fora,MG,Francisco Álvares de Assis,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBJP,JPA,João Pessoa,PB,Pres. Castro Pinto,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBJV,JOI,Joinville,SC,Lauro Carneiro de Loyola,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBKP,CPQ,Campinas,SP,Viracopos,True,IATA printed as CPQ; OurAirports gives VCP (data/external/airports_br.csv),"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
