icao,node,node_name,city,uf,metropolitan,lat,lon,source,url,retrieved_at,confidence
SBBH,MRBH,Belo Horizonte (metropolitan),Belo Horizonte,MG,True,-19.743225,-43.958622,OurAirports coordinates; node grouping per ADR-0001 (DECISIONS.md),https://davidmegginson.github.io/ourairports-data/airports.csv,2026-09-05,A
SBCF,MRBH,Belo Horizonte (metropolitan),Belo Horizonte,MG,True,-19.743225,-43.958622,OurAirports coordinates; node grouping per ADR-0001 (DECISIONS.md),https://davidmegginson.github.io/ourairports-data/airports.csv,2026-09-05,A
SBGL,MRRJ,Rio de Janeiro (metropolitan),Rio de Janeiro,RJ,True,-22.860198,-43.206688,OurAirports coordinates; node grouping per ADR-0001 (DECISIONS.md),https://davidmegginson.github.io/ourairports-data/airports.csv,2026-09-05,A
SBRJ,MRRJ,Rio de Janeiro (metropolitan),Rio de Janeiro,RJ,True,-22.860198,-43.206688,OurAirports coordinates; node grouping per ADR-0001 (DECISIONS.md),https://davidmegginson.github.io/ourairports-data/airports.csv,2026-09-05,A
SBGR,MRSP,São Paulo (metropolitan),São Paulo,SP,True,-23.355445,-46.753019,OurAirports coordinates; node grouping per ADR-0001 (DECISIONS.md),https://davidmegginson.github.io/ourairports-data/airports.csv,2026-09-05,A
SBKP,MRSP,São Paulo (metropolitan),São Paulo,SP,True,-23.355445,-46.753019,OurAirports coordinates; node grouping per ADR-0001 (DECISIONS.md),https://davidmegginson.github.io/ourairports-data/airports.csv,2026-09-05,A
SBSP,MRSP,São Paulo (metropolitan),São Paulo,SP,True,-23.355445,-46.753019,OurAirports coordinates; node grouping per ADR-0001 (DECISIONS.md),https://davidmegginson.github.io/ourairports-data/airports.csv,2026-09-05,A
SBAR,SBAR,Aracaju,Aracaju,SE,False,-10.98394,-37.072873,OurAirports coordinates; node grouping per ADR-0001 (DECISIONS.md),https://davidmegginson.github.io/ourairports-data/airports.csv,2026-09-05,A
SBBE,SBBE,Belém,Belém,PA,False,-1.379279,-48.476207,OurAirports coordinates; node grouping per ADR-0001 (DECISIONS.md),https://davidmegginson.github.io/ourairports-data/airports.csv,2026-09-05,A
SBBR,SBBR,Brasília,Brasília,DF,False,-15.869167,-47.920834,OurAirports coordinates; node grouping per ADR-0001 (DECISIONS.md),https://davidmegginson.github.io/ourairports-data/airports.csv,2026-09-05,A
SBBV,SBBV,Boa Vista,Boa Vista,RR,False,2.84615,-60.690648,OurAirports coordinates; node grouping per ADR-0001 (DECISIONS.md),https://davidmegginson.github.io/ourairports-data/airports.csv,2026-09-05,A
