date,name,type,law,url,source,retrieved_at,confidence
2000-03-06,Segunda-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2000-03-07,Terca-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2000-04-21,Sexta-feira Santa (Sexta-feira da Paixao),observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2000-06-22,Corpus Christi,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2001-02-26,Segunda-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2001-02-27,Terca-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2001-04-13,Sexta-feira Santa (Sexta-feira da Paixao),observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2001-06-14,Corpus Christi,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2002-02-11,Segunda-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2002-02-12,Terca-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
