year,month,rows_staged,rows_dta,diff
-1,2,,1.0,-1
2000,1,79608.0,78523.0,1085
2000,2,73711.0,72370.0,1341
2000,3,78286.0,77010.0,1276
2000,4,71310.0,70625.0,685
2000,5,69372.0,68748.0,624
2000,6,70786.0,70103.0,683
2000,7,74880.0,74107.0,773
2000,8,73784.0,72986.0,798
2000,9,71271.0,70543.0,728
2000,10,73894.0,73160.0,734
2000,11,70794.0,70133.0,661
2000,12,75320.0,74542.0,778
2001,1,77876.0,77184.0,692
2001,2,70510.0,69799.0,711
2001,3,78847.0,78063.0,784
2001,4,75811.0,75151.0,660
2001,5,79972.0,79259.0,713
2001,6,77051.0,76436.0,615
2001,7,80866.0,80278.0,588
2001,8,77439.0,76864.0,575
2001,9,72492.0,71949.0,543
2001,10,78609.0,77937.0,672
2001,11,77443.0,77075.0,368
2001,12,80392.0,79862.0,530
2002,1,82383.0,74942.0,7441
2002,2,71258.0,70695.0,563
2002,3,75453.0,75006.0,447
2002,4,73373.0,72962.0,411
2002,5,76778.0,76132.0,646
2002,6,75561.0,74915.0,646
2002,7,78347.0,77707.0,640
2002,8,76968.0,76299.0,669
2002,9,71992.0,71379.0,613
2002,10,79095.0,78710.0,385
2002,11,75959.0,75589.0,370
2002,12,80407.0,79951.0,456
2003,1,81687.0,81263.0,424
2003,2,73826.0,73411.0,415
2003,3,81478.0,81105.0,373
2003,4,79425.0,79034.0,391
2003,5,68959.0,68525.0,434
2003,6,57340.0,56979.0,361
2003,7,61015.0,60691.0,324
2003,8,58847.0,58454.0,393
2003,9,57756.0,57356.0,400
2003,10,60978.0,60595.0,383
2003,11,58555.0,58133.0,422
2003,12,61613.0,61187.0,426
2004,1,62759.0,62369.0,390
2004,2,57543.0,57173.0,370
2004,3,62336.0,61903.0,433
2004,4,60672.0,60290.0,382
2004,5,61435.0,61008.0,427
2004,6,61400.0,60937.0,463
2004,7,67118.0,66660.0,458
2004,8,64566.0,16351.0,48215
2004,9,63153.0,62732.0,421
2004,10,65091.0,64575.0,516
2004,11,59090.0,58795.0,295
2004,12,67617.0,67046.0,571
2005,1,68267.0,67750.0,517
2005,2,57387.0,56936.0,451
2005,3,63355.0,62828.0,527
2005,4,61172.0,60521.0,651
2005,5,66678.0,42097.0,24581
2005,6,64799.0,64091.0,708
2005,7,68535.0,67836.0,699
2005,8,68355.0,68127.0,228
2005,9,66537.0,66077.0,460
2005,10,67710.0,67274.0,436
2005,11,65527.0,65116.0,411
2005,12,69288.0,68779.0,509
2006,1,69605.0,69082.0,523
2006,2,62714.0,62294.0,420
2006,3,70669.0,70263.0,406
2006,4,66278.0,65903.0,375
2006,5,71088.0,70692.0,396
2006,6,69844.0,69387.0,457
2006,7,74820.0,74207.0,613
2006,8,75484.0,75173.0,311
2006,9,63927.0,63514.0,413
2006,10,66955.0,66671.0,284
2006,11,64747.0,64265.0,482
2006,12,75768.0,74921.0,847
2007,1,82650.0,82284.0,366
2007,2,69373.0,69131.0,242
2007,3,76306.0,76284.0,22
2007,4,75076.0,74644.0,432
2007,5,80506.0,79964.0,542
2007,6,77197.0,76088.0,1109
2007,7,82513.0,81118.0,1395
2007,8,79580.0,78944.0,636
2007,9,77076.0,76708.0,368
2007,10,85404.0,84816.0,588
2007,11,76742.0,76316.0,426
2007,12,77686.0,77261.0,425
2008,-1,,1.0,-1
2008,1,77266.0,76920.0,346
2008,2,71832.0,71591.0,241
2008,3,76325.0,76012.0,313
2008,4,75221.0,74928.0,293
2008,5,76983.0,76780.0,203
2008,6,73026.0,72829.0,197
2008,7,76685.0,76490.0,195
2008,8,73912.0,73733.0,179
2008,9,72080.0,71913.0,167
2008,10,72179.0,72110.0,69
2008,11,71738.0,71525.0,213
2008,12,77106.0,76840.0,266
2009,1,78541.0,78365.0,176
2009,2,72472.0,72376.0,96
2009,3,87535.0,79756.0,7779
2009,4,78358.0,78269.0,89
2009,5,80268.0,80130.0,138
2009,6,78828.0,78684.0,144
2009,7,82835.0,82658.0,177
2009,8,83331.0,83161.0,170
2009,9,79190.0,79023.0,167
2009,10,84888.0,84650.0,238
2009,11,82336.0,82104.0,232
2009,12,101428.0,92989.0,8439
2010,1,104197.0,90476.0,13721
2010,2,80921.0,81295.0,-374
2010,3,89179.0,89715.0,-536
2010,4,85908.0,87212.0,-1304
2010,5,89177.0,89711.0,-534
2010,6,89408.0,89605.0,-197
2010,7,95829.0,95876.0,-47
2010,8,95307.0,95525.0,-218
2010,9,94568.0,94800.0,-232
2010,10,99086.0,99191.0,-105
2010,11,97986.0,98257.0,-271
2010,12,104383.0,104592.0,-209
2011,1,105019.0,105327.0,-308
2011,2,93791.0,93955.0,-164
2011,3,104333.0,104702.0,-369
2011,4,100638.0,100837.0,-199
2011,5,103924.0,104127.0,-203
2011,6,103385.0,103520.0,-135
2011,7,107073.0,107305.0,-232
2011,8,107564.0,107866.0,-302
2011,9,103864.0,104094.0,-230
2011,10,105013.0,108485.0,-3472
2011,11,106242.0,106540.0,-298
2011,12,112044.0,112049.0,-5
2012,1,113487.0,113755.0,-268
2012,2,101509.0,105222.0,-3713
2012,3,111005.0,111050.0,-45
2012,4,106691.0,106756.0,-65
2012,5,109816.0,109765.0,51
2012,6,107064.0,106987.0,77
2012,7,110964.0,110911.0,53
2012,8,108631.0,108538.0,93
2012,9,102760.0,102597.0,163
2012,10,107477.0,107325.0,152
2012,11,103457.0,103555.0,-98
2012,12,106428.0,106212.0,216
2013,1,109802.0,109625.0,177
2013,2,99381.0,99101.0,280
2013,3,105627.0,105465.0,162
2013,4,101740.0,101663.0,77
2013,5,106201.0,106062.0,139
2013,6,102754.0,102612.0,142
2013,7,109168.0,109153.0,15
2013,8,105566.0,105354.0,212
2013,9,100539.0,100270.0,269
2013,10,104690.0,115028.0,-10338
2013,11,101391.0,98453.0,2938
2013,12,108788.0,108491.0,297
2014,1,69.0,,69
2018,12,1.0,,1
2019,11,3.0,,3
2020,1,88.0,,88
2030,10,1.0,,1
2032,4,1.0,,1
2070,10,1.0,,1
2071,10,1.0,,1
2088,8,2.0,,2
2088,11,5.0,,5
2092,8,1.0,,1
2099,1,1.0,,1
2099,4,16.0,,16
2099,11,1.0,,1
2099,12,118.0,,118
,,2100.0,,2100
